x		y		z		phi		theta		r	R	pt
19.2071	-46.1463	93.2156	5.11119	0.785246	23570.2	50	20000
38.6899	-92.2141	143.231	5.11335	0.785305	23570.2	100	20000
58.2895	-138.237	193.22	5.11556	0.785326	23570.2	150	20000
10.4573	-48.8908	70.3961	4.90264	0.785503	23570.2	50	20000
19.9629	-97.9525	120.37	4.90469	0.785532	23570.2	100	20000
29.5501	-147.041	170.425	4.90675	0.785525	23570.2	150	20000
48.8854	10.2523	42.9558	0.225443	0.785313	23570.2	50	20000
97.6326	21.5261	92.967	0.227536	0.785143	23570.2	100	20000
146.39	32.8977	143.04	0.229611	0.785144	23570.2	150	20000
29.9879	39.9903	89.0789	0.91552	0.785349	23570.2	50	20000
60.432	79.6488	139.132	0.917724	0.785424	23570.2	100	20000
90.7653	119.388	189.133	0.919878	0.785466	23570.2	150	20000
39.5186	30.6649	3.72154	0.635924	0.785489	23570.2	50	20000
79.7333	60.4266	53.6708	0.638034	0.785542	23570.2	100	20000
119.813	90.2372	103.634	0.640391	0.785614	23570.2	150	20000
-7.11642	-49.5046	51.6386	4.56717	0.785203	23570.2	50	20000
-14.2937	-98.9531	101.593	4.56938	0.785136	23570.2	100	20000
-21.3595	-148.489	151.628	4.57154	0.785181	23570.2	150	20000
17.1037	-47.0186	15.3493	5.05739	0.785405	23570.2	50	20000
34.0507	-94.0133	65.2582	5.05941	0.785404	23570.2	100	20000
51.1555	-141.057	115.281	5.06161	0.785541	23570.2	150	20000
48.7014	11.3691	88.0811	0.19778	0.785346	23570.2	50	20000
97.7418	21.2941	138.107	0.199797	0.785307	23570.2	100	20000
146.741	31.3132	188.063	0.201814	0.785197	23570.2	150	20000
29.5237	-40.3029	93.6333	5.33118	0.785452	23570.2	50	20000
58.5863	-81.0002	143.654	5.33315	0.785385	23570.2	100	20000
87.6971	-121.689	193.689	5.33526	0.785391	23570.2	150	20000
-46.037	-19.5079	71.2386	3.54803	0.785416	23570.2	50	20000
-91.9844	-39.3216	121.262	3.55021	0.785402	23570.2	100	20000
-137.802	-59.2037	171.268	3.5523	0.785424	23570.2	150	20000
-48.6458	11.5697	48.1565	2.91919	0.785388	23570.2	50	20000
-97.4215	22.5971	98.1836	2.92129	0.785492	23570.2	100	20000
-146.183	33.4795	148.186	2.92332	0.785513	23570.2	150	20000
-45.0501	21.7823	54.703	2.68156	0.785442	23570.2	50	20000
-89.8758	43.9277	104.666	2.6836	0.785618	23570.2	100	20000
-134.706	65.9349	154.626	2.68591	0.785684	23570.2	150	20000
-9.21952	49.0971	62.9148	1.78171	0.785432	23570.2	50	20000
-19.7616	98.0762	112.97	1.78368	0.785556	23570.2	100	20000
-30.3842	146.907	162.962	1.78561	0.785582	23570.2	150	20000
2.26071	49.9376	17.439	1.55861	0.785369	23570.2	50	20000
2.83747	99.9908	67.5172	1.56081	0.785433	23570.2	100	20000
3.24687	150.027	117.442	1.56293	0.785375	23570.2	150	20000
29.3208	-40.5718	82.1311	5.31453	0.785446	23570.2	50	20000
57.6984	-81.7127	132.094	5.31669	0.785437	23570.2	100	20000
86.1029	-122.819	182.097	5.31899	0.785412	23570.2	150	20000
48.7792	-10.7266	83.1436	6.04541	0.785342	23570.2	50	20000
97.448	-22.4335	133.156	6.04766	0.785363	23570.2	100	20000
146.136	-34.0757	183.161	6.04977	0.785438	23570.2	150	20000
40.8382	28.8418	40.4928	0.614634	0.785342	23570.2	50	20000
81.6672	57.6931	90.4985	0.616699	0.785312	23570.2	100	20000
122.437	86.6559	140.465	0.618841	0.785259	23570.2	150	20000
-42.7366	26.0364	56.4585	2.59663	0.78549	23570.2	50	20000
-85.5104	51.9006	106.438	2.59846	0.78548	23570.2	100	20000
-128.311	77.6992	156.468	2.60064	0.785411	23570.2	150	20000
2.9015	-49.9049	55.3907	4.79602	0.785469	23570.2	50	20000
7.182	-99.7773	105.409	4.798	0.785457	23570.2	100	20000
11.5157	-149.588	155.385	4.80006	0.785492	23570.2	150	20000
36.4041	34.308	94.3768	0.741085	0.785445	23570.2	50	20000
73.2076	68.0892	144.321	0.743283	0.785383	23570.2	100	20000
109.962	101.991	194.365	0.74544	0.7854	23570.2	150	20000
-2.41466	49.955	13.3931	1.6202	0.785356	23570.2	50	20000
-4.90435	99.9131	63.3841	1.62223	0.785407	23570.2	100	20000
-7.53547	149.867	113.319	1.62429	0.785331	23570.2	150	20000
47.9427	-14.2215	87.377	6.01728	0.785404	23570.2	50	20000
96.1946	-27.3015	137.37	6.01936	0.785412	23570.2	100	20000
144.477	-40.295	187.358	6.02153	0.785437	23570.2	150	20000
50.0079	0.0980143	89.1078	6.24881	0.785334	23570.2	50	20000
99.9399	-1.56504	139.128	6.25102	0.785397	23570.2	100	20000
149.957	-3.13956	189.166	6.2533	0.785475	23570.2	150	20000
-3.28816	-49.9403	41.9597	4.66858	0.785486	23570.2	50	20000
-5.44532	-99.8661	91.8774	4.67057	0.785509	23570.2	100	20000
-7.48271	-149.793	141.83	4.67251	0.785633	23570.2	150	20000
47.9908	14.0442	65.7504	0.294033	0.785421	23570.2	50	20000
95.8138	28.5536	115.76	0.296008	0.785464	23570.2	100	20000
143.673	43.1931	165.762	0.298127	0.785375	23570.2	150	20000
-40.9028	28.6316	58.1905	2.55315	0.785436	23570.2	50	20000
-82.5734	56.4269	108.237	2.55532	0.785499	23570.2	100	20000
-124.265	84.0471	158.181	2.55739	0.785552	23570.2	150	20000
16.7799	47.0952	10.7793	1.22848	0.785369	23570.2	50	20000
33.476	94.2616	60.7758	1.23048	0.785441	23570.2	100	20000
